PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#
VB-contact	1	1	b-verb.communication	1												
VBG-investigating	1	1	b-verb.communication	1												
VBG-showin	1	1	b-verb.communication	1												
VBZ-refuses	1	1	b-verb.communication	1												
VERB-sharing	1	1	b-verb.communication	1												
VBP-text	1	1	b-verb.communication	1												
VERB-asks	1	1	b-verb.communication	1												
VERB-announces	1	1	b-verb.communication	1												
VBZ-opens	1	1	b-verb.communication	1												
VERB-report	1	1	b-verb.communication	1												
VBG-calling	1	1	b-verb.communication	1												
VERB-resume Companion	1	1	b-verb.communication	1												
VERB-praises	1	1	b-verb.communication	1												
VERB-set	1	1	b-verb.communication	1												
VBD-named	1	1	b-verb.communication	1												
VERB-says	1	1	b-verb.communication	1												
VBZ-tweet	1	1	b-verb.communication	1												
VB-reveal	1	1	b-verb.communication	1												
VBZ-posts	1	1	b-verb.communication	1												
VERB-count	1	1	b-verb.communication	1												
VB-sort	1	1	b-verb.cognition	1												
VBP-forget	1	1	b-verb.cognition	1												
VBN-classified	1	1	b-verb.cognition	1												
VBD-forgotten	1	1	b-verb.cognition	1												
VERB-booked	1	1	b-verb.cognition	1												
VBP-skip	1	1	b-verb.cognition	1												
VB-rewind	1	1	b-verb.cognition	1												
VB-goo	1	1	b-verb.cognition	1												
VERB-remembering	1	1	b-verb.cognition	1												
VB-suck	1	1	b-verb.cognition	1												
VBD-learned	1	1	b-verb.cognition	1												
VBZ-reads	1	1	b-verb.cognition	1												
VERB-unconcerned	1	1	b-verb.cognition	1												
VBG-exploring	1	1	b-verb.cognition	1												
VBN-impressed	1	1	b-verb.cognition	1												
VBD-messed	1	1	b-verb.cognition	1												
VB-trust	1	1	b-verb.cognition	1												
VBP-remind	1	1	b-verb.cognition	1												
VBD-reminded	1	1	b-verb.cognition	1												
VBN-discovered	1	1	b-verb.cognition	1												
VBG-studying/doing	1	1	b-verb.cognition	1												
VERB-read	1	1	b-verb.cognition	1												
VB-review	1	1	b-verb.cognition	1												
VBG-catching	1	1	b-verb.cognition	1												
VERB-forget	1	1	b-verb.cognition	1												
VBP-iguess	1	1	b-verb.cognition	1												
VBD-remembered	1	1	b-verb.cognition	1												
VBP-wonder	1	1	b-verb.cognition	1												
VBD-knew	1	1	b-verb.cognition	1												
VBP-believe	1	1	b-verb.cognition	1												
VBN-aimed	1	1	b-verb.cognition	1												
NNS-punts	1	1	b-verb.cognition	1												
VBG-studying	1	1	b-verb.cognition	1												
VBD-realized	1	1	b-verb.cognition	1												
VB-judge	1	1	b-verb.cognition	1												
VB-count	1	1	b-verb.cognition	1												
VBN-overrated	1	1	b-verb.cognition	1												
VBG-3dreaming	1	1	b-verb.cognition	1												
VBP-dont know	1	1	b-verb.cognition	1												
VERB-choosing	1	1	b-verb.cognition	1												
VBN-realised	1	1	b-verb.cognition	1												
VBG-knowing	1	1	b-verb.cognition	1												
VBN-known	1	1	b-verb.cognition	1												
VB-learn	1	1	b-verb.cognition	1												
VBP-thinkk	1	1	b-verb.cognition	1												
VBP-find	1	1	b-verb.cognition	1												
VB-read	1	1	b-verb.cognition	1												
VB-feel	1	1	b-verb.cognition	1												
VBD-intended)	1	1	b-verb.cognition	1												
VBG-considering	1	1	b-verb.cognition	1												
VBP-mean	1	1	b-verb.cognition	1												
VERB-understand	1	1	b-verb.cognition	1												
VBP-leave	1	1	b-verb.cognition	1												
VBP-realize	1	1	b-verb.cognition	1												
VBZ-plans	1	1	b-verb.cognition	1												
VBG-killing	1	1	b-verb.cognition	1												
VBN-identified	1	1	b-verb.cognition	1												
VERB-like	1	1	b-verb.cognition	1												
VBZ-reminds	1	1	b-verb.cognition	1												
VB-understand	1	1	b-verb.cognition	1												
VBD-read	1	1	b-verb.cognition	1												
NOUN-scapegoating	1	1	b-verb.cognition	1												
VBG-reviewing	1	1	b-verb.cognition	1												
VBP-thinks	1	1	b-verb.cognition	1												
VERB-kno	1	1	b-verb.cognition	1												
VERB-feels	1	1	b-verb.cognition	1												
VBG-leading	1	1	b-verb.change	1												
VERB-drops	1	1	b-verb.change	1												
VERB-fill	1	1	b-verb.change	1												
VBG-removing	1	1	b-verb.change	1												
VBD-broke	1	1	b-verb.change	1												
VB-welcome	1	1	b-verb.change	1												
VBD-increased	1	1	b-verb.change	1												
VBZ-starts	1	1	b-verb.change	1												
VERB-kills	1	1	b-verb.change	1												
VBZ-changes	1	1	b-verb.change	1												
VBG-breaking	1	1	b-verb.change	1												
VBZ-blows	1	1	b-verb.change	1												
VERB-coming	1	1	b-verb.change	1												
VB-upgrade	1	1	b-verb.change	1												
VBZ-extends	1	1	b-verb.change	1												
VERB-adapt	1	1	b-verb.change	1												
VBG-mixing	1	1	b-verb.change	1												
VBG-tidyin	1	1	b-verb.change	1												
VBD-began	1	1	b-verb.change	1												
VERB-boil	1	1	b-verb.change	1												
VERB-change	1	1	b-verb.change	1												
VBN-cleared	1	1	b-verb.change	1												
VB-fill	1	1	b-verb.change	1												
VERB-ended	1	1	b-verb.change	1												
VERB-integrate	1	1	b-verb.change	1												
VBZ-decline	1	1	b-verb.change	1												
VERB-operate	1	1	b-verb.change	1												
VERB-defund	1	1	b-verb.change	1												
VERB-dwindle	1	1	b-verb.change	1												
VBG-dying	1	1	b-verb.change	1												
VB-slow	1	1	b-verb.change	1												
VBN-removed	1	1	b-verb.change	1												
VBN-fixed	1	1	b-verb.change	1												
VERB-embark	1	1	b-verb.change	1												
VERB-grow	1	1	b-verb.change	1												
VERB-gets	1	1	b-verb.change	1												
VBD-finished	1	1	b-verb.change	1												
VBD-froze	1	1	b-verb.change	1												
VBN-started	1	1	b-verb.change	1												
VERB-switch	1	1	b-verb.change	1												
VB-reduce	1	1	b-verb.change	1												
VBD-changed	1	1	b-verb.change	1												
VBG-fixing	1	1	b-verb.change	1												
VB-sync	1	1	b-verb.change	1												
VBN-changed	1	1	b-verb.change	1												
VERB-increased	1	1	b-verb.change	1												
VBN-reached	1	1	b-verb.change	1												
VB-grow	1	1	b-verb.change	1												
VBG-startin	1	1	b-verb.change	1												
VBG-cooling	1	1	b-verb.change	1												
VB-step	1	1	b-verb.change	1												
VBN-mixed	1	1	b-verb.change	1												
VBN-filled	1	1	b-verb.change	1												
VBD-fucked	1	1	b-verb.change	1												
VERB-screw	1	1	b-verb.change	1												
VBG-lettin	1	1	b-verb.change	1												
VERB-opening	1	1	b-verb.change	1												
VBD-opened	1	1	b-verb.change	1												
VBP-crank	1	1	b-verb.change	1												
VERB-changes	1	1	b-verb.change	1												
VBG-releasing	1	1	b-verb.change	1												
VBD-murdered	1	1	b-verb.change	1												
VB-add	1	1	b-verb.change	1												
VB-relax	1	1	b-verb.change	1												
VB-turn	1	1	b-verb.change	1												
VB-change	1	1	b-verb.change	1												
VB-put	1	1	b-verb.body	1												
VB-dress	1	1	b-verb.body	1												
VBD-laughed	1	1	b-verb.body	1												
VERB-wear	1	1	b-verb.body	1												
VBP-wear	1	1	b-verb.body	1												
VBG-donning	1	1	b-verb.body	1												
VBP-smile	1	1	b-verb.body	1												
VBG-relaxin	1	1	b-verb.body	1												
VBG-maxin	1	1	b-verb.body	1												
VERB-delivered	1	1	b-verb.body	1												
NN-cryin	1	1	b-verb.body	1												
VBP-break	1	1	b-verb.body	1												
VERB-recovering	1	1	b-verb.body	1												
VBD-wimped	1	1	b-verb.body	1												
VBP-spit	1	1	b-verb.body	1												
VERB-sleep	1	1	b-verb.body	1												
VBD-belched	1	1	b-verb.body	1												
VBD-showered	1	1	b-verb.body	1												
VBD-woke	1	1	b-verb.body	1												
VBG-resting	1	1	b-verb.body	1												
VB-chill	1	1	b-verb.body	1												
NN-follow friday	1	1	b-noun.time	1												
NN-tomarrow	1	1	b-noun.time	1												
NN-black friday	1	1	b-noun.time	1												
NN-today~	1	1	b-noun.time	1												
NNP-wednesday	1	1	b-noun.time	1												
NOUN-september	1	1	b-noun.time	1												
NN-mission Friday	1	1	b-noun.time	1												
NNP-august	1	1	b-noun.time	1												
NN-tod	1	1	b-noun.time	1												
NN-summer	1	1	b-noun.time	1												
RB-tonight	1	1	b-noun.time	1												
NOUN-season	1	1	b-noun.time	1												
NN-sunday	1	1	b-noun.time	1												
NNP-tue	1	1	b-noun.time	1												
NNS-calendars	1	1	b-noun.time	1												
NNP-march	1	1	b-noun.time	1												
NNP-christmas	1	1	b-noun.time	1												
NNP-nzst)	1	1	b-noun.time	1												
NN-daytime	1	1	b-noun.time	1												
NOUN-sep NUMBER	1	1	b-noun.time	1												
NNP-livestrong Day	1	1	b-noun.time	1												
NN-2morrow	1	1	b-noun.time	1												
NNP-friday Night	1	1	b-noun.time	1												
NN-tomorrow morning	1	1	b-noun.time	1												
NOUN-tonight	1	1	b-noun.time	1												
NOUN-dec NUMBER	1	1	b-noun.time	1												
NNP-new MUZIK MONDAY	1	1	b-noun.time	1												
NN-p.m.	1	1	b-noun.time	1												
NNP-pst	1	1	b-noun.time	1												
NNS-yrs	1	1	b-noun.time	1												
HT-#timetogetout	1	1	b-noun.time	1												
NN-birfday	1	1	b-noun.time	1												
NUM-number Aug NUMBER	1	1	b-noun.time	1												
NOUN-years	1	1	b-noun.time	1												
NN-mid-december	1	1	b-noun.time	1												
NOUN-tuesday	1	1	b-noun.time	1												
NNP-eclipse advent calendar	1	1	b-noun.time	1												
NOUN-months	1	1	b-noun.time	1												
NN-hair day	1	1	b-noun.time	1												
NNP-national Taco Day	1	1	b-noun.time	1												
NNP-sun morn	1	1	b-noun.time	1												
NNP-breast Cancer Awareness month	1	1	b-noun.time	1												
NNS-birthdays	1	1	b-noun.time	1												
NN-past	1	1	b-noun.time	1												
NNP-new Brew Thursday	1	1	b-noun.time	1												
NN-evertime/day	1	1	b-noun.time	1												
NNP-tuesday dollar oyster night	1	1	b-noun.time	1												
NOUN-time	1	1	b-noun.time	1												
NOUN-all-time	1	1	b-noun.time	1												
NN-2night	1	1	b-noun.time	1												
NN-gym time	1	1	b-noun.time	1												
NOUN-childhood	1	1	b-noun.time	1												
NNP-june	1	1	b-noun.time	1												
NN-tomorrow night	1	1	b-noun.time	1												
NN-b Day	1	1	b-noun.time	1												
NN-deadline	1	1	b-noun.time	1												
NOUN-wednesday NUMBER	1	1	b-noun.time	1												
RB-today	1	1	b-noun.time	1												
NN-mobile era	1	1	b-noun.time	1												
NNP-friday night	1	1	b-noun.time	1												
NOUN-playtime	1	1	b-noun.time	1												
NOUN-work week	1	1	b-noun.time	1												
NNP-wed	1	1	b-noun.time	1												
NN-friday	1	1	b-noun.time	1												
NN-coupla days	1	1	b-noun.time	1												
NN-1day	1	1	b-noun.time	1												
NNP-love Your Library Month	1	1	b-noun.time	1												
NOUN-seconds	1	1	b-noun.time	1												
NNP-sunday night	1	1	b-noun.time	1												
NNP-constitution Day	1	1	b-noun.time	1												
NNP-pisces/aries DAY	1	1	b-noun.time	1												
NOUN-wednesday Sep-25-2013 NUMBER PDT	1	1	b-noun.time	1												
NN-nyt	1	1	b-noun.time	1												
NUM-number End Date	1	1	b-noun.time	1												
NNP-friday nyt	1	1	b-noun.time	1												
NNP-poetry Sunday	1	1	b-noun.time	1												
NN-tomorrow noon	1	1	b-noun.time	1												
NN-vegetarian Day	1	1	b-noun.time	1												
NN-bday	1	1	b-noun.time	1												
NNP-friday afternoon	1	1	b-noun.time	1												
NOUN-thursday	1	1	b-noun.time	1												
NOUN-christmas Day	1	1	b-noun.time	1												
NOUN-thanksgiving	1	1	b-noun.time	1												
NN-week end	1	1	b-noun.time	1												
NNP-butterfly SATURDAYS	1	1	b-noun.time	1												
NOUN-monday morning	1	1	b-noun.time	1												
NOUN-wednesday Sep-25-2013	1	1	b-noun.time	1												
NN-nigh	1	1	b-noun.time	1												
NNP-taco| P-Dogs Cruise Night	1	1	b-noun.time	1												
NN-delay	1	1	b-noun.time	1												
NN-order	1	1	b-noun.time	1												
NNP-valentines Day	1	1	b-noun.time	1												
NN-t-minus	1	1	b-noun.time	1												
NN-improv comedy night	1	1	b-noun.time	1												
NN-spring	1	1	b-noun.time	1												
NNP-fire Prevention Week	1	1	b-noun.time	1												
NOUN-tomorrow	1	1	b-noun.time	1												
NNS-mintues	1	1	b-noun.time	1												
NN-month anniversary	1	1	b-noun.time	1												
NNP-wednesday NITES	1	1	b-noun.time	1												
NN-t'day	1	1	b-noun.time	1												
NNP-saturday morning	1	1	b-noun.time	1												
NN-opening day	1	1	b-noun.time	1												
NN-wait	1	1	b-noun.time	1												
NN-school today	1	1	b-noun.time	1												
NN-nite	1	1	b-noun.time	1												
NN-fall	1	1	b-noun.time	1												
NN-snow day	1	1	b-noun.time	1												
NN-air	1	1	b-noun.substance	1												
NOUN-#water	1	1	b-noun.substance	1												
NN-snow	1	1	b-noun.substance	1												
NN-vitamin	1	1	b-noun.substance	1												
NN-venom	1	1	b-noun.substance	1												
NN-ice	1	1	b-noun.substance	1												
NN-waste	1	1	b-noun.substance	1												
NOUN-protein	1	1	b-noun.substance	1												
VB-fail	1	1	b-noun.state	1												
NOUN-security	1	1	b-noun.state	1												
NOUN-luck	1	1	b-noun.state	1												
NNS-possibilities	1	1	b-noun.state	1												
NN-cold	1	1	b-noun.state	1												
NNP-atmosphere	1	1	b-noun.state	1												
NOUN-estate agency insolvencies	1	1	b-noun.state	1												
NOUN-safety	1	1	b-noun.state	1												
NNS-somethings	1	1	b-noun.state	1												
NNP-adhd	1	1	b-noun.state	1												
NOUN-chaos	1	1	b-noun.state	1												
NOUN-lack	1	1	b-noun.state	1												
NOUN-disease	1	1	b-noun.state	1												
NOUN-cancer	1	1	b-noun.state	1												
NNS-stages	1	1	b-noun.state	1												
NOUN-rain chances	1	1	b-noun.state	1												
NN-injury	1	1	b-noun.state	1												
NN-romance	1	1	b-noun.state	1												
NN-peace	1	1	b-noun.state	1												
NOUN-lyme disease	1	1	b-noun.state	1												
NOUN-climate	1	1	b-noun.state	1												
NOUN-bankruptcy	1	1	b-noun.state	1												
NOUN-aurora Soul Sessions Showcase	1	1	b-noun.state	1												
NN-problem	1	1	b-noun.state	1												
NOUN-adhd	1	1	b-noun.state	1												
NN-bruise	1	1	b-noun.state	1												
NN-okay	1	1	b-noun.state	1												
NN-living	1	1	b-noun.state	1												
NN-halt	1	1	b-noun.state	1												
NN-inclusion	1	1	b-noun.state	1												
NN-daily downer	1	1	b-noun.state	1												
NN-crappyness	1	1	b-noun.state	1												
NOUN-life	1	1	b-noun.state	1												
NN-funk	1	1	b-noun.state	1												
NN-sta	1	1	b-noun.state	1												
NN-public Health Disasters	1	1	b-noun.state	1												
NOUN-climate models	1	1	b-noun.state	1												
NNP-liberty	1	1	b-noun.state	1												
NOUN-constraints	1	1	b-noun.state	1												
NOUN-chance	1	1	b-noun.state	1												
NNP-ball	1	1	b-noun.shape	1												
NOUN-pyramid	1	1	b-noun.shape	1												
NN-portion	1	1	b-noun.relation	1												
NN-trouble	1	1	b-noun.relation	1												
NN-attitude	1	1	b-noun.relation	1												
NN-version	1	1	b-noun.relation	1												
NOUN-differences	1	1	b-noun.relation	1												
NOUN-brotherhood's	1	1	b-noun.relation	1												
NN-relationship	1	1	b-noun.relation	1												
NOUN-partnership	1	1	b-noun.relation	1												
NN-promotion	1	1	b-noun.relation	1												
NN-customer	1	1	b-noun.relation	1												
NN-intrest	1	1	b-noun.relation	1												
NN-track	1	1	b-noun.relation	1												
NOUN-accountant	1	1	b-noun.relation	1												
NN-service	1	1	b-noun.relation	1												
NOUN-nothing	1	1	b-noun.quantity	1												
NNS-degrees	1	1	b-noun.quantity	1												
NN-5x	1	1	b-noun.quantity	1												
NUM-4	1	1	b-noun.quantity	1												
NUM-million	1	1	b-noun.quantity	1												
NN-low	1	1	b-noun.quantity	1												
NN-reduced	1	1	b-noun.quantity	1												
NNS-lbs	1	1	b-noun.quantity	1												
NN-yen	1	1	b-noun.quantity	1												
NNP-yellow	1	1	b-noun.quantity	1												
NUM-number MILLION	1	1	b-noun.quantity	1												
NN-sumthing	1	1	b-noun.quantity	1												
NUM-number followers	1	1	b-noun.quantity	1												
NN-quantity	1	1	b-noun.quantity	1												
NNS-tons	1	1	b-noun.quantity	1												
NUM-two	1	1	b-noun.quantity	1												
NNS-thousands	1	1	b-noun.quantity	1												
NN-km	1	1	b-noun.quantity	1												
NN-dozen	1	1	b-noun.quantity	1												
NNS-scores	1	1	b-noun.quantity	1												
NN-download limit	1	1	b-noun.quantity	1												
NUM-thirty	1	1	b-noun.quantity	1												
NN-15%	1	1	b-noun.quantity	1												
NOUN-mile	1	1	b-noun.quantity	1												
NNS-many	1	1	b-noun.quantity	1												
NN-dose	1	1	b-noun.quantity	1												
NOUN-one	1	1	b-noun.quantity	1												
NN-mg	1	1	b-noun.quantity	1												
NOUN-birth	1	1	b-noun.process	1												
NN-birth	1	1	b-noun.process	1												
NN-development	1	1	b-noun.process	1												
NNP-friday news dump	1	1	b-noun.process	1												
NNS-meltdowns	1	1	b-noun.process	1												
NOUN-donations	1	1	b-noun.possession	1												
NNP-california Home Sales	1	1	b-noun.possession	1												
NNS-$7	1	1	b-noun.possession	1												
NNS-rates	1	1	b-noun.possession	1												
NOUN-millions Jackpot	1	1	b-noun.possession	1												
NN-mortgage	1	1	b-noun.possession	1												
NNS-resources	1	1	b-noun.possession	1												
NNS-proceeds	1	1	b-noun.possession	1												
NNP-big 12 Rookie	1	1	b-noun.possession	1												
NN-bday money	1	1	b-noun.possession	1												
NN-interest rates	1	1	b-noun.possession	1												
NNS-benefits	1	1	b-noun.possession	1												
NOUN-award	1	1	b-noun.possession	1												
NN-real estate	1	1	b-noun.possession	1												
NN-bill	1	1	b-noun.possession	1												
NOUN-money	1	1	b-noun.possession	1												
NOUN-cash	1	1	b-noun.possession	1												
NNP-forbidden Fruit	1	1	b-noun.plant	1												
NN-tree	1	1	b-noun.plant	1												
NN-lightening	1	1	b-noun.phenomenon	1												
NNP-autumn	1	1	b-noun.phenomenon	1												
NNP-florida heat	1	1	b-noun.phenomenon	1												
NNP-force	1	1	b-noun.phenomenon	1												
NN-power	1	1	b-noun.phenomenon	1												
NOUN-wake	1	1	b-noun.phenomenon	1												
NNS-temperatures	1	1	b-noun.phenomenon	1												
NN-luck	1	1	b-noun.phenomenon	1												
NN-haze	1	1	b-noun.phenomenon	1												
NN-thunder	1	1	b-noun.phenomenon	1												
NNP-reflection Nebula	1	1	b-noun.phenomenon	1												
NN-weather	1	1	b-noun.phenomenon	1												
NNP-karam	1	1	b-noun.phenomenon	1												
NN-storm	1	1	b-noun.phenomenon	1												
NOUN-temazo	1	1	b-noun.person	1												
NNP-alli	1	1	b-noun.person	1												
NNP-gaga	1	1	b-noun.person	1												
NNP-keppinger	1	1	b-noun.person	1												
NNP-elliot Miner	1	1	b-noun.person	1												
NNP-me..parlae	1	1	b-noun.person	1												
NOUN-inspectors	1	1	b-noun.person	1												
NNP-chukchansi	1	1	b-noun.person	1												
NOUN-kraigg Brathwaite	1	1	b-noun.person	1												
NOUN-missy Elliott	1	1	b-noun.person	1												
NN-fan	1	1	b-noun.person	1												
NNS-clowns	1	1	b-noun.person	1												
NNS-empls	1	1	b-noun.person	1												
NN-teen who	1	1	b-noun.person	1												
NOUN-boys	1	1	b-noun.person	1												
NN-college Student	1	1	b-noun.person	1												
NOUN-runners	1	1	b-noun.person	1												
NNP-amir	1	1	b-noun.person	1												
NNP-bianca	1	1	b-noun.person	1												
NNP-fabi	1	1	b-noun.person	1												
NOUN-#hnic #HNIC Rodgers	1	1	b-noun.person	1												
NNP-ash	1	1	b-noun.person	1												
NNP-nicki MINAJ	1	1	b-noun.person	1												
NOUN-cosmo Baker	1	1	b-noun.person	1												
NOUN-howard	1	1	b-noun.person	1												
NNP-cj	1	1	b-noun.person	1												
NOUN-mr. Perfect	1	1	b-noun.person	1												
NNP-wingo	1	1	b-noun.person	1												
NNP-hien	1	1	b-noun.person	1												
NNS-monsters	1	1	b-noun.person	1												
NNP-bono Mack	1	1	b-noun.person	1												
NOUN-bret Hart	1	1	b-noun.person	1												
NOUN-valon Behrami	1	1	b-noun.person	1												
NN-dork	1	1	b-noun.person	1												
NNP-pouliot	1	1	b-noun.person	1												
NOUN-girl	1	1	b-noun.person	1												
NOUN-#karlie #Kloss	1	1	b-noun.person	1												
NN-reporter	1	1	b-noun.person	1												
NNS-ninjas	1	1	b-noun.person	1												
NN-offensive player	1	1	b-noun.person	1												
NN-husband	1	1	b-noun.person	1												
NNP-eduardo Surita	1	1	b-noun.person	1												
NNP-kay	1	1	b-noun.person	1												
NNP-downs	1	1	b-noun.person	1												
NOUN-benjamin Sir	1	1	b-noun.person	1												
NOUN-ceo	1	1	b-noun.person	1												
NN-judge	1	1	b-noun.person	1												
NNP-friggg	1	1	b-noun.person	1												
NN-surgeon	1	1	b-noun.person	1												
NOUN-loudoun Firefighters	1	1	b-noun.person	1												
NNP-justin	1	1	b-noun.person	1												
NNS-fellas	1	1	b-noun.person	1												
NNS-coasters	1	1	b-noun.person	1												
NOUN-philip Pullman	1	1	b-noun.person	1												
NNP-josh	1	1	b-noun.person	1												
NOUN-joey Bada$$	1	1	b-noun.person	1												
NNP-princess Lover OVA	1	1	b-noun.person	1												
NNP-doug	1	1	b-noun.person	1												
NNP-indian Prime Minister	1	1	b-noun.person	1												
NNP-st	1	1	b-noun.person	1												
NNP-sam	1	1	b-noun.person	1												
NNP-anna	1	1	b-noun.person	1												
NOUN-correspondents	1	1	b-noun.person	1												
NNS-cuhzans	1	1	b-noun.person	1												
NOUN-avicii	1	1	b-noun.person	1												
NOUN-kiessling	1	1	b-noun.person	1												
NNP-memphis man	1	1	b-noun.person	1												
NNP-rhea	1	1	b-noun.person	1												
NN-ones	1	1	b-noun.person	1												
HT-#teamkatstacksbitch	1	1	b-noun.person	1												
NNP-joe	1	1	b-noun.person	1												
NN-boss	1	1	b-noun.person	1												
NNP-f__and__e	1	1	b-noun.person	1												
NNP-unc	1	1	b-noun.person	1												
NNS-complainers	1	1	b-noun.person	1												
NOUN-brodus Clay	1	1	b-noun.person	1												
NNS-owners	1	1	b-noun.person	1												
NN-friends	1	1	b-noun.person	1												
NOUN-#adult	1	1	b-noun.person	1												
NNP-rp	1	1	b-noun.person	1												
NN-bitch boy	1	1	b-noun.person	1												
HT-#meteopau	1	1	b-noun.person	1												
NN-doc	1	1	b-noun.person	1												
NNP-paul Levit'z	1	1	b-noun.person	1												
NN-human being	1	1	b-noun.person	1												
NOUN-swizzbeatz	1	1	b-noun.person	1												
NOUN-hague	1	1	b-noun.person	1												
NNS-gals	1	1	b-noun.person	1												
NOUN-ceos	1	1	b-noun.person	1												
NOUN-love interests	1	1	b-noun.person	1												
NNP-rep	1	1	b-noun.person	1												
NN-eachother	1	1	b-noun.person	1												
NNP-belieber	1	1	b-noun.person	1												
NOUN-k-dawg	1	1	b-noun.person	1												
HT-#askev	1	1	b-noun.person	1												
NNP-darrell Williams	1	1	b-noun.person	1												
NOUN-bitch	1	1	b-noun.person	1												
NNP-top Followers/Fans	1	1	b-noun.person	1												
NN-barefoot Student)	1	1	b-noun.person	1												
NNS-boys	1	1	b-noun.person	1												
NNP-goddddd	1	1	b-noun.person	1												
NNS-parents	1	1	b-noun.person	1												
NOUN-#hnic #HNIC Xavi	1	1	b-noun.person	1												
NNP-double Diaomond	1	1	b-noun.person	1												
NN-loser	1	1	b-noun.person	1												
NN-brother	1	1	b-noun.person	1												
NNP-nick Jonas	1	1	b-noun.person	1												
NN-child minder who	1	1	b-noun.person	1												
NOUN-wim denijs	1	1	b-noun.person	1												
NN-bro	1	1	b-noun.person	1												
NN-lawyer	1	1	b-noun.person	1												
NOUN-efa	1	1	b-noun.person	1												
NOUN-femi Kuti	1	1	b-noun.person	1												
NOUN-alessandra Kamaile	1	1	b-noun.person	1												
NOUN-aliciapomares	1	1	b-noun.person	1												
NNP-sarah	1	1	b-noun.person	1												
NN-sis	1	1	b-noun.person	1												
NNS-women	1	1	b-noun.person	1												
NNP-lexis	1	1	b-noun.person	1												
NN-brat	1	1	b-noun.person	1												
NNP-belanger	1	1	b-noun.person	1												
NNP-pope Benedict	1	1	b-noun.person	1												
NOUN-george	1	1	b-noun.person	1												
NNP-brittany	1	1	b-noun.person	1												
NOUN-sunmobi	1	1	b-noun.person	1												
NNP-emily rodriguez	1	1	b-noun.person	1												
NN-mommy	1	1	b-noun.person	1												
NOUN-charlie Rose	1	1	b-noun.person	1												
NNP-icarly	1	1	b-noun.person	1												
NN-neice	1	1	b-noun.person	1												
NOUN-liz W	1	1	b-noun.person	1												
NOUN-nsa agents	1	1	b-noun.person	1												
NNP-giles Deacon	1	1	b-noun.person	1												
VB-fan-girl	1	1	b-noun.person	1												
NN-guest	1	1	b-noun.person	1												
NOUN-tr Cutler	1	1	b-noun.person	1												
NN-book blogger	1	1	b-noun.person	1												
NN-ppl	1	1	b-noun.person	1												
NN-*puss	1	1	b-noun.person	1												
NOUN-slovakia international	1	1	b-noun.person	1												
NNP-ca	1	1	b-noun.person	1												
NOUN-jam Master Jay's	1	1	b-noun.person	1												
NNP-jackie	1	1	b-noun.person	1												
NOUN-tomic's dad	1	1	b-noun.person	1												
NNP-jpn	1	1	b-noun.person	1												
NNS-noobs	1	1	b-noun.person	1												
NN-chick	1	1	b-noun.person	1												
NN-trailer	1	1	b-noun.person	1												
NNP-onew	1	1	b-noun.person	1												
NNP-stephen	1	1	b-noun.person	1												
NOUN-apple Insider	1	1	b-noun.person	1												
NOUN-saban's	1	1	b-noun.person	1												
NNP-ray rice	1	1	b-noun.person	1												
NOUN-g-dragon	1	1	b-noun.person	1												
NOUN-john Wooden	1	1	b-noun.person	1												
NNP-ben	1	1	b-noun.person	1												
NNP-colt Brennan	1	1	b-noun.person	1												
NOUN-housemates	1	1	b-noun.person	1												
NOUN-baines	1	1	b-noun.person	1												
NNP-salsa caliente	1	1	b-noun.person	1												
NN-everybody	1	1	b-noun.person	1												
NNP-kc	1	1	b-noun.person	1												
NNP-lil Ronnie	1	1	b-noun.person	1												
NNP-trisha	1	1	b-noun.person	1												
NNP-majestic	1	1	b-noun.person	1												
NOUN-miguel	1	1	b-noun.person	1												
NNP-tanya	1	1	b-noun.person	1												
NNP-jeff	1	1	b-noun.person	1												
NOUN-fishermen	1	1	b-noun.person	1												
NOUN-leaders	1	1	b-noun.person	1												
NNP-mark MEISMER	1	1	b-noun.person	1												
NNP-jim Rohn	1	1	b-noun.person	1												
NOUN-jill Konrath	1	1	b-noun.person	1												
NOUN-seth Godin	1	1	b-noun.person	1												
NNP-benitez	1	1	b-noun.person	1												
NOUN-cory	1	1	b-noun.person	1												
NOUN-lea	1	1	b-noun.person	1												
NNP-jobs	1	1	b-noun.person	1												
NOUN-coaches	1	1	b-noun.person	1												
NN-nigga	1	1	b-noun.person	1												
NN-preacher	1	1	b-noun.person	1												
NN-inshallah	1	1	b-noun.person	1												
NNS-tweeps	1	1	b-noun.person	1												
NOUN-ted Cruz	1	1	b-noun.person	1												
NOUN-fellaini	1	1	b-noun.person	1												
NNP-murkowski	1	1	b-noun.person	1												
NOUN-customers	1	1	b-noun.person	1												
NN-som1	1	1	b-noun.person	1												
NOUN-hamsik	1	1	b-noun.person	1												
NNP-simone	1	1	b-noun.person	1												
NNP-friday barbiez	1	1	b-noun.person	1												
NNS-drivers	1	1	b-noun.person	1												
NNP-snoop	1	1	b-noun.person	1												
NN-somebodys	1	1	b-noun.person	1												
NNP-london Ladies	1	1	b-noun.person	1												
NNP-ayman Mohyeldin	1	1	b-noun.person	1												
VBN-jj	1	1	b-noun.person	1												
NNP-leah Mason	1	1	b-noun.person	1												
NN-grandma	1	1	b-noun.person	1												
NOUN-messi	1	1	b-noun.person	1												
NNS-others	1	1	b-noun.person	1												
NNP-deborah L	1	1	b-noun.person	1												
